




2	5	1	





8	18	2	


9	23	10	
8	12	32	



5	21	13	5	11	15	




6	5	42	
9	14	33	


7	1	8	

1	23	41	


5	13	5	






9	2	11	

10	7	14	


5	3	45	


2	11	13	


10	12	24	








7	5	12	

2	18	10	6	11	35	

2	21	2	

6	3	11	


7	4	44	

5	23	42	
10	19	36	

10	8	6	
6	10	5	















3	18	2	





7	18	15	1	11	3	


5	21	44	










10	1	36	










2	16	8	

5	3	43	






8	17	22	

5	22	27	




3	21	17	
10	8	20	

9	18	27	




4	7	27	







4	19	36	5	9	21	










4	3	29	7	5	14	
4	12	31	8	1	11	
















3	13	20	
2	3	9	


1	7	35	

5	16	9	


4	22	14	




2	19	21	






10	3	38	



2	8	38	


1	4	30	

6	11	17	
3	21	45	
4	16	3	
1	7	13	

7	10	28	


6	3	5	


2	11	22	

3	23	33	














6	5	39	





3	9	39	




2	3	29	





2	13	12	
2	24	13	





10	10	4	








6	5	20	
4	14	9	






8	1	45	





4	12	14	

9	5	18	







8	17	35	9	3	24	


6	1	27	
1	12	25	


9	21	10	3	10	27	





10	16	33	











5	19	25	4	2	25	
7	3	18	
5	8	27	
5	22	23	


7	12	7	


5	11	13	

7	15	1	

3	23	10	









2	6	40	
8	20	41	


1	4	42	
6	13	4	8	19	24	


8	2	32	
10	25	14	
9	15	16	
2	22	35	








10	19	16	
3	11	45	





3	5	15	


2	17	38	

2	10	16	
5	11	35	


6	12	30	



9	20	45	




6	23	2	2	17	41	








7	15	38	





6	20	35	

8	8	15	





8	3	12	


3	6	11	
6	19	1	







8	13	35	


7	12	35	2	19	12	2	3	45	









9	6	21	


5	2	13	







6	19	11	

5	9	13	



4	25	7	5	25	11	

4	9	12	
6	17	42	10	1	43	


7	12	3	
2	13	3	



9	10	37	




9	23	11	

7	23	10	






6	1	18	

10	23	40	

2	25	7	

7	3	10	


4	6	34	

5	23	23	










2	6	29	

7	14	42	3	1	10	7	9	34	






8	13	30	

5	7	28	

9	4	25	

10	11	10	














2	21	36	


































































