

5	19	42	
3	17	24	




6	1	20	

2	8	1	6	13	18	

2	15	32	

1	5	29	





7	3	1	5	10	22	

5	16	22	
5	10	8	
4	20	44	
5	1	23	


9	20	25	
3	11	34	




3	1	44	
5	13	45	



10	13	31	


5	2	30	


1	25	34	6	4	42	
5	17	39	

5	16	21	



8	14	40	8	9	23	




4	16	10	




3	11	7	

4	4	37	

7	21	5	
6	6	16	

6	12	30	

3	18	44	
8	22	45	
6	14	31	

1	9	19	1	7	44	


8	19	39	

4	8	35	5	18	1	
10	8	1	1	8	17	

6	20	45	1	24	11	
9	12	24	5	2	19	
9	10	45	

3	12	31	
1	12	32	
6	7	36	

3	11	12	








7	14	15	


1	10	33	
9	7	16	
8	14	18	
4	1	20	

10	5	24	10	24	45	

8	18	20	
1	12	6	



6	7	4	

6	4	45	




10	15	4	
1	4	23	
2	18	14	


7	8	25	7	3	17	
2	6	30	
10	22	14	

1	12	17	7	8	32	
6	11	19	4	19	34	
3	6	1	

7	19	30	4	12	30	3	25	17	










3	16	19	


5	2	36	





5	1	17	

10	17	13	




5	16	33	

1	16	22	7	10	17	
4	12	45	7	14	45	


5	3	3	1	18	45	




4	7	44	


1	25	20	
1	1	21	

1	1	14	
5	10	11	

3	4	34	


2	9	16	
3	3	27	

3	17	30	2	12	34	

7	8	6	2	20	17	


2	6	27	
10	5	32	



5	1	19	

6	8	1	7	8	45	
1	20	45	

5	9	45	
1	8	41	


8	17	20	
3	20	25	
1	23	41	

6	16	17	
2	12	38	

7	16	29	
6	7	32	
4	11	6	



2	1	23	


9	11	30	






3	19	34	2	20	17	10	7	45	
5	7	45	8	12	42	

7	15	32	


4	12	24	
3	11	42	






4	6	15	6	17	39	


6	17	40	1	18	14	
6	13	11	


9	18	10	
1	12	23	

6	17	1	



5	13	22	8	15	27	1	11	19	




3	15	19	










4	7	6	7	12	33	
6	19	15	8	9	8	
1	1	17	
7	8	13	

4	12	18	
4	14	16	
2	1	13	
3	9	27	

7	25	34	
6	1	34	

8	25	22	
5	7	34	

1	7	32	




7	12	30	
7	10	1	

10	25	45	

5	6	6	





1	14	7	


7	17	20	






10	10	28	2	9	24	


4	12	21	2	8	41	




10	17	44	
8	13	28	
7	14	24	
4	10	11	

4	14	45	



3	19	45	
4	21	7	








4	13	39	6	17	45	


10	11	45	5	13	29	1	4	21	

10	5	15	

1	13	30	
7	1	27	




3	14	34	
3	3	12	


2	17	27	






2	12	24	1	9	31	

3	14	1	
1	1	15	8	10	1	


1	11	13	


5	13	33	





7	21	28	
9	18	32	


10	9	44	



5	12	20	



6	18	1	


7	22	34	10	23	30	


2	4	38	6	10	33	
10	1	30	8	7	12	
5	5	29	
3	10	14	

5	8	15	


10	10	2	
6	12	45	
3	6	33	



8	14	45	
5	4	7	








3	8	22	



2	20	4	
5	13	1	
8	8	43	



1	11	38	






1	8	21	

4	18	4	

10	10	1	
2	9	30	

10	8	31	




3	16	30	7	25	37	


5	18	1	
1	4	45	





8	16	26	


5	23	37	
4	15	37	5	18	23	1	10	28	

2	2	10	5	8	40	1	12	39	



7	15	31	




7	15	7	7	2	45	4	15	1	
5	16	20	
6	14	42	





6	22	34	


2	10	45	





8	17	31	

7	16	29	
4	10	21	

7	14	41	



5	19	14	




2	20	7	
2	14	18	
1	4	23	10	14	33	4	6	32	8	9	28	





3	16	35	2	1	44	
5	12	28	

7	9	45	





6	1	40	
10	19	34	


4	13	32	
7	16	12	
2	3	45	1	15	29	

10	20	1	


2	17	45	

5	1	26	




























































