
9	9	29	








6	12	21	








1	12	23	





1	8	15	

4	10	29	



9	9	24	



1	17	26	









6	15	30	






1	17	29	





10	10	29	







4	18	26	









8	5	25	





8	14	21	9	9	22	



2	12	17	











10	16	22	


5	13	25	

2	10	32	



2	18	28	2	13	27	

8	9	24	


5	17	22	

2	11	22	



8	9	17	



6	15	26	














8	14	24	




2	13	24	



5	8	29	


9	15	32	


9	19	27	
3	20	23	
7	11	23	








10	11	22	2	16	23	




2	9	30	

7	14	19	









3	16	20	









5	10	31	






9	12	24	
9	9	24	
3	14	26	

2	8	24	




8	15	25	













9	13	24	

5	13	25	
8	19	30	





8	10	18	

6	11	17	
















6	16	22	











9	11	24	










10	14	24	




9	15	21	



2	9	25	

6	14	21	2	14	19	
















5	18	20	




4	15	25	
9	10	25	








1	15	27	


9	13	22	





5	17	16	


3	16	9	








8	19	33	







7	16	21	





2	3	22	
1	13	26	




6	14	28	1	13	19	
1	17	28	









3	10	22	


7	6	27	






9	15	26	













5	17	19	

9	17	29	
10	16	19	

5	15	23	







6	14	25	













2	9	26	

8	11	24	


4	10	24	
4	12	28	






9	9	27	


3	11	17	
9	21	28	8	12	21	




2	10	29	






















2	8	23	







9	17	16	






3	10	25	2	6	25	

9	17	32	


6	8	29	






















7	3	26	

10	11	16	




10	8	25	























7	11	22	































































